article,domain,label
"A high performance license plate recognition system (LPRS) is proposed in this work. The proposed LPRS is composed of the following three main stages: (i) plate region determination, (ii) character segmentation, and (iii) character recognition. During the plate region determination stage, the image is enhanced by image processing algorithms to increase system performance. The rectangular license plate region is obtained using edge-based image processing methods on the binarized image. With the help of skew correction, the plate region is prepared for the character segmentation stage. Characters are separated from each other using vertical projections on the plate region. Segmented characters are prepared for the character recognition stage by a thinning process. At the character recognition stage, a three-layer feedforward artificial neural network using a backpropagation learning algorithm is constructed and the characters are determined.
",CS,0
"A dynamic model for the wind flow in wind farms is developed in this paper. The model is based on the spatial discretization of the linearized Navier-Stokes equation combined with the vortex cylinder theory. The spatial discretization of the model is performed using the finite difference method, which provides the state-space form of the dynamic wind farm model. The model provides an approximation of the behavior of the flow in the wind farm and obtains the wind speed in the vicinity of each wind turbine. Afterwards, the model is validated using measurement data of Energy research Center of the Netherlands' Wind turbine Test site in Wieringermeer in the Netherlands and by employing the outcomes of two other wind flow models. The end goal of this work is to present the wind farm flow model by ordinary differential equations, to be applied in wind farm control algorithms along with load and power optimizations. Copyright (c) 2013 John Wiley & Sons, Ltd.
",ECE,1
"A phase-only computer-generated holography (CGH) calculation method for stereoscopic holography is proposed in this paper. The two-dimensional (2D) perspective projection views of the three-dimensional (3D) object are generated by the computer graphics rendering techniques. Based on these views, a phase-only hologram is calculated by using the Gerchberg-Saxton (GS) iterative algorithm. Comparing with the non-iterative algorithm in the conventional stereoscopic holography, the proposed method improves the holographic image quality, especially for the phase-only hologram encoded from the complex distribution. Both simulation and optical experiment results demonstrate that our proposed method can give higher quality reconstruction comparing with the traditional method.
",CS,0
"A Summary As elderly patients with hip osteoarthritis aged, acetabular dysplasia parameters decreased (Sharp's angle, acetabular roof obliquity angle, and acetabular head index) and the incidence of the atrophic type increased. Vertebral body fracture was more frequent in the atrophic type, suggesting the involvement of osteoporosis at the onset of hip osteoarthritis. Introduction Osteoarthritis (OA) is associated with increased bone formation at a local site. However, excessive bone resorption has also been found to occur in the early stages of OA. Osteoporosis may be involved in the onset of OA in elderly patients. We conducted a cross-sectional radiographic study of patients with hip OA and examined the association between age and factors of acetabular dysplasia (Sharp's angle, acetabular roof obliquity angle, and acetabular head index) as well as the osteoblastic response to determine the potential involvement of osteoporosis. Methods This study included 366 patients (58 men, 308 women) who had undergone total hip arthroplasty for the diagnosis of hip OA. We measured the parameters of acetabular dysplasia using preoperative frontal X-ray images and evaluated each patient according to Bombelli classification of OA (hypertrophic, normotrophic, or atrophic type). Results As the patients aged, the parameters of acetabular dysplasia decreased. The incidence of the atrophic type of OA was significantly higher in older patients. Vertebral body fractures were more frequent in the atrophic type than in the other types. Additionally, the index of acetabular dysplasia was lower in the atrophic type. By contrast, the hypertrophic type was present in relatively younger patients and was associated with an increased index of acetabular dysplasia. Conclusion In elderly patients with hip OA, the parameters of acetabular dysplasia decreased and the incidence of the atrophic type increased as the patients aged. The frequency of vertebral body fracture was high in patients with the atrophic type, suggesting the involvement of osteoporosis in the onset of hip OA.
",Medical,5
"A rainwater harvesting system (RHS) was designed for a waste treatment facility located near the town of Mirandela (northern Portugal), to be used in the washing of vehicles and other equipment, the cleaning of outside concrete or asphalt floors, and the watering of green areas. Water tank volumes representing 100% efficiency (V-r) were calculated by the Ripple method with different results depending on two consumption scenarios adopted for irrigation. The RHS design was based on a precipitation record spanning a rather long period (3 decades). The calculated storage capacities fulfilled the water demand even when prolonged droughts occurred during that timeframe. However, because the drought events have been rather scarce the V-r values were considered oversized and replaced by optimal volumes. Notwithstanding the new volumes were solely half of the original V-r values, the projected RHS efficiency remained very high (around 90%) while the probability of system failure (efficiency < 100%) stayed very low (in the order of 5%). In both scenarios, the economic savings related to the optimization of V-r were noteworthy, while the investment's return periods decreased substantially from the original to the optimized solutions. A high efficiency with a low storage capacity is typical of low demanding applications of rainwater harvesting, where water availability (V-w) largely exceeds water demand (C-w), that is to say where demand fractions (C-w/V-w) are very low. Based on the results of a literature review covering an ample geographic distribution and describing a very large number of demand fraction scenarios, a C-w/V-w = 0.8 was defined as the threshold to generally distinguish the low from the high demanding RHS applications. (C) 2015 Elsevier B.V. All rights reserved.
",Civil,4
"A helicopter flight control system is a typical multi-input, multi-output system with strong channel coupling and nonlinear characteristics. This paper presents an explicit model predictive control (EMPC) for attitude regulation and tracking of a 3-Degree-of-Freedom (3-DOF) helicopter. A state-space representation of the system is established according to the characteristics of each degree-of-freedom motion. Multi-Parametric Quadratic Programming (MPQP) and online computation processes for explicit model predictive control and controller design for a 3-DOF helicopter are discussed. The controller design for set-point regulation and tracking time-varying reference signals of a 3-DOF helicopter are presented respectively. Numerical study of explicit model predictive control for attitude regulation and tracking of a 3-DOF helicopter are conducted. A hardware-in-the-loop experimental study of explicit model predictive control of a 3-DOF helicopter is made. To analyze the performances of an EMPC controlled helicopter system, an Active Mass Disturbance System and manual interference are considered in comparison with PID scheme. Numerical simulation and HIL experimental studies show that explicit model predictive control is valid and has satisfactory performance for a 3-DOF helicopter.
",ECE,1
"A design of fuzzy-based hierarchal approach is proposedto improve the frequency control in the power system. The simplified Great Britain (GB) frequency control model, was used as a single bus machine. A new simple tuning method is proposed with the aid of the conventional PID controller gains. The same gains are used to feed the fuzzy controller in the same loop without re-tuning the fuzzy gains. This method allows the fuzzy structure to supplement the conventional control rather than replacing it. Particle Swarm Optimization (PSO) is proposed to find the optimal value of the controller gains. Five modeling scenarios for the fuzzy control and two cases of uncertain parameters were considered to validate the model. Structures of fuzzy controller offered high stability and robustness in the simulation results. Therefore, the proposed hierarchal structuresare used in the real-time applications of the load frequency control in the power systems. (C) 2016 Elsevier B.V. All rights reserved.
",ECE,1
"A novel observer-based fault accommodation technique for linear multi-input multi-output sampled-data systems affected by a general class of actuator faults in the presence of quantization errors is addressed in the paper. Only the output signal has been assumed to be available for direct measurement. A simulation study on a three-tank system supports theoretical developments. Copyright (c) 2014 John Wiley & Sons, Ltd.
",ECE,1
"Accurately monitoring global vegetation dynamics with modern remote sensing is critical for understanding the functions and processes of the biosphere and its interactions with the planetary climate. The MODerate resolution Imaging Spectroradiometer (MODIS) vegetation index (VI) product has been a primary data source for this purpose. To date, the MODIS team had released several versions of VI products that have widely used in global change studies and practical applications. In this study, we re-examined the global vegetation activity by comparing the recent MODIS Collection 6 (C6) VIs with Collection 5 (C5) VIs including Normalized Difference Vegetation Index (NDVI) and Enhanced Vegetation Index (EVI) from Terra (2001-2015) and Aqua Satellites (2003-2015). We found substantial differences in global vegetation trends betweenTerra-C5 and -C6 VIs, especially EVI. From 2001 to 2015, global vegetation showed a remarkable greening trend in annual EVI from the Terra-C6 (0.28% year(-1) P < 0.001), in contrast to the decreasing EVI trend from the Terra-05 (-0.14% year(-1) P < 0.01). Spatially, large portions of the browning areas in tropical regions identified by Terra-05 VIs were not evident in Terra-C6 VIs. In contrast, the widespread greening areas in Terra-C6 VIs were consistent with Aqua C6 VIs and GIMMS3g NDVI. Our finding of a greening Earth supports the recent studies suggesting an enhanced land carbon sink. Our study suggests that most of the vegetation browning trends detected by MODIS Terra-C5 VIs were likely caused by sensor degradation, particularly for the period after 2007. Therefore, previous studies of temporal vegetation trends based solely on Terra-C5 VIs may need to be reevaluated. Our new analysis offers the most updated understanding of the global vegetation dynamics during the past 15 years and contributes to accurately understanding the role of vegetation played in the Earth's biogeochemical and climatic systems. (C) 2017 Elsevier Inc. All rights reserved.
",Civil,4
"Allocating memory dynamically for virtual machines (VMs) according to their demands provides significant benefits as well as great challenges. Efficient memory resource management requires knowledge of the memory demands of applications or systems at runtime. A widely proposed approach is to construct a miss ratio curve (MRC) for a VM, which not only summarizes the current working set size (WSS) of the VM but also models the relationship between its performance and the target memory allocation size. Unfortunately, the cost of monitoring and maintaining the MRC structures is nontrivial. This article first introduces a low-cost WSS tracking system with effective optimizations on data structures, as well as an efficient mechanism to decrease the frequency of monitoring. We also propose a Memory Balancer (MEB), which dynamically reallocates guest memory based on the predicted WSS. Our experimental results show that our prediction schemes yield a high accuracy of 95.2% and low overhead of 2%. Furthermore, the overall system throughput can be significantly improved with MEB, which brings a speedup up to 7.4 for two to four VMs and 4.54 for an overcommitted system with 16 VMs.
",CS,0
"A robust control technique is proposed to address the problem of trajectory tracking of an autonomous ground vehicle (AGV). This technique utilizes a fractional-order proportional integral derivative (FOPID) controller to control a non-holonomic autonomous ground vehicle to track the behaviour of the predefined reference path. Two FOPID controllers are designed to control the AGV's inputs. These inputs represent the torques that are used in order to manipulate the implemented model of the vehicle to obtain the actual path. The implemented model of the non-holonomic autonomous ground vehicle takes into consideration both of the kinematic and dynamic models. In additional, a particle swarm optimization (PSO) algorithm is used to optimize the FOPID controllers' parameters. These optimal tuned parameters of FOPID controllers minimize the cost function used in the algorithm. The effectiveness and validation of the proposed method have been verified through different patterns of reference paths using MATLAB-Simulink software package. The stability of fractional-order system is analysed. Also, the robustness of the system is conducted by adding disturbances due to friction of wheels during the vehicle motion. The obtained results of FOPID controller show the advantage and the performance of the technique in terms of minimizing path tracking error and the complement of the path following.
",ECE,1
"A universal aptameric system based on the taking advantage of double-stranded DNA/perylene diimide (dsDNA/PDI) as the signal probe was developed for multiplexed detection of small molecules. Aptamers are single-stranded DNA or RNA oligonucleotides which are selected in vitro by a process known as systematic evolution of ligands by exponential enrichment. In this work, we synthesized a new kind of PDI and reported this aggregated PDI could quench the double-stranded DNA (dsDNA)-labeled fluorophores with a high quenching efficiency. The quenching efficiencies on the fluorescence of FAM, TAMRA and Cy5 could reach to 98.3% +/- 0.9%, 97.2% +/- 0.6% and 98.1% +/- 1.1%, respectively. This broad-spectrum quencher was then adopted to construct a multicolor biosensor via a label-free approach. A structure-switching-triggered enzymatic recycling amplification was employed for signal amplification. High quenching efficiency combined with autocatalytic target recycling amplification afforded the biosensor with high sensitivity towards small analytes. For other targets, changing the corresponding aptamer can achieve the goal. The quencher did not interfere with the catalytic activity of nuclease. The biosensor could be manipulated with similar sensitivity no matter in pre-addition or post-addition manner. Moreover, simultaneous and multiplexed analysis of several small molecules in homogeneous solution was achieved, demonstrating its potential application in the rapid screening of multiple biotargets.
",Medical,5
"Aberrant expression of miRNAs is involved in several carcinogenic processes, including tumor growth, metastasis and angiogenesis. The aim of this study was to determine the role of miR-218 in gastric cancer angiogenesis. In situ hybridization was performed on a set of tissue microarray samples to assess the difference in miR-218 expression in vessels between tumor tissues and normal gastric mucosa. In vitro, ectopic expression of miR-218 disturbed the tubular structure and inhibited the migration of endothelial cells. Motility and tube formation were rescued when miR-218 was downregulated. Moreover, miR-218 suppressed endothelial cell sprouting in a fibrin bead sprouting assay. Subsequently, we identified ROBO1 as a target of miR-218 in endothelial cells and determined it was responsible for the effect of miR-218 on tumor angiogenesis. In vivo, local injection of mature miR-218 in xenografted tumors disrupted the vessel plexus and thus inhibited tumor growth. Taken together, our study demonstrated an anti-angiogenic role of miR-218 in gastric cancer and indicated that delivery of miR-218 may be a potential therapeutic strategy to inhibit tumor angiogenesis. (C) 2017 Elsevier B.V. All rights reserved.
",Medical,5
"A microbial fuel cell (MFC) is a very promising way to remove organic pollutants. Hexachlorobenzene (HCB) is a widely used agricultural pesticide. In this study, single-chamber and membrane-less soil MFCs were constructed. The HCB was degraded to pentachlorobenzene (PeCB), tetrachlorobenzene (TeCB), and trichlorobenzene (TCB) in sequence by a reductive dechlorination process in soil MFCs. The influences of the external resistance, concentration of phosphate buffer, and electrode spacing in soil MFCs on the degradation rate and removal efficiency of HCB were analyzed. The results showed that the degradation rate and removal efficiency of HCB were increased when the external resistance decreased from 2000 to 20 (1, and also when the concentration of phosphate buffer increased. The anode area played a significant role in dechlorination of HCB. Altering the spacing of the reducing electrode resulted in a lower ohmic resistance in the soil MFCs. The ohmic resistance was negatively correlated with the removal efficiency and degradation rate (P < 0.05). In conclusion, HCB removal efficiency could be enhanced by soil MFCs, the performance of which was improved by a decrease in external resistance and internal resistance, and an increase in phosphate buffer concentration, rather than just by shortening the electrode spacing.
",ECE,1
"Acetabular dysplasia is a known cause of hip osteoarthritis. In addition to abnormal anatomy, changes in kinematics, joint reaction forces (JRFs), and muscle forces could cause tissue damage to the cartilage and labrum, and may contribute to pain and fatigue. The objective of this study was to compare lower extremity joint angles, moments, hip JRFs and muscle forces during gait between patients with symptomatic acetabular dysplasia and healthy controls. Marker trajectories and ground reaction forces were measured in 10 dysplasia patients and 10 typically developing control subjects. A musculoskeletal model was scaled in OpenSim to each subject and subject-specific hip joint centers were determined using reconstructions from CT images. Joint kinematics and moments were calculated using inverse kinematics and inverse dynamics, respectively. Muscle forces and hip JRFs were estimated with static optimization. Inter-group differences were tested for statistical significance (p= 0.8). Results demonstrated that dysplasia patients had higher medially directed JRFs. Joint angles and moments were mostly similar between the groups, but large inter-group effect sizes suggested some restriction in range of motion by patients at the hip and ankle. Higher medially-directed JRFs and inter-group differences in hip muscle forces likely stem from lateralization of the hip joint center in dysplastic patients. Joint force differences, combined with reductions in range of motion at the hip and ankle may also indicate compensatory strategies by patients with dysplasia to maintain joint stability. (C) 2017 Elsevier Ltd. All rights reserved.
",Medical,5
"Algorithm Design and Analysis is one of the core courses for undergraduates majoring in Computer Science and Technology. Based on practical teaching experiences, this paper carries out concrete discussions from several aspects, i.e., teaching content, teaching methods, practical teaching, and so forth in combination with several typical problems encountered during the teaching process.
",CS,0
"A straightforward and facile method for the exfoliation of graphene sheets using poly(vinylpyrrolidone) nanoparticles of an average size of 42 nm was developed and their dual role as pH-sensitive drug carrier and anti-cancer agent was evaluated. The cytotoxic impact of the exfoliated nanosheets (GRP-PVP-NP) was examined on various cells (HCT-116, HeLa, SCC-9, NIH-3T3 and HEK-293 cells) by a series of assays. Their cytotoxic nature was attributed to affecting the mitochondrial enzyme activity, proliferation capability, and the formation of tight junctions in cancer cells. The endocytosis was found to be internalization mechanism for the cellular uptake of nanosheets. The generation of reactive oxygen species and elicitation of caspase-3 activity which was undoubtedly associated with triggering of oxidative stress speculated to be the dominant cause of the cytotoxic pattern of nanosheets against cancer cells. Additionally, the results also showed the role of the nanosheets as a pH-sensitive drug carrier through drug loading by supramolecular interaction. The efficient release of doxorubicin was seen at low pH and in an environment with a low oxygen concentration, thus under conditions mimicking the typical tumor microenvironment. Therefore, these findings provide the first evidence for a dual function of exfoliated graphene sheets and also elucidate the cytotoxic mechanism responsible for the cancer cell death. (C) 2017 Elsevier Inc. All rights reserved.
",Medical,5
"A regional-level and dimensionless analysis for designing a domestic rainwater harvesting system (DRWHS) was developed. To consider various combinations of water demand, storage capacity, effective roof area, and rainfall in DRWHS design, two dimensionless ratios were used, namely, demand fraction and storage fraction, along with a relationship between the two ratios. Firstly, Northern Taiwan was divided into four sub-regions through cluster analysis based on the average annual 10-day rainfall distribution at rainfall stations and administrative districts. Easy-to-use dimensionless curves between demand fraction and storage fraction were obtained for five rainwater supply reliabilities of the DRWHS for the four sub-regions. Based on the dimensionless curves, a nomogram was constructed for designing DRWHSs at a rainwater supply reliability of 95% in the sub-region I. Storage capacities determined from the dimensionless curves showed a close fit with those determined from simulated values, but were larger than the values estimated from the method presented in the Green Building Evaluation Manual in most situations. The methodology developed herein can be used effectively for the preliminary design of a DRWHS and for overcoming the difficulties faced in designing a DRWHS without rainfall data and with incomplete rainfall data.
",Civil,4
"As one of the biggest countries in the world and the 4th rank in construction industry in Asia, Indonesia is very far behind compared to some neighboring countries in terms of green building movement. It is confirmed by the fact that only 16 buildings in Indonesia that have been earned GREENSHIP, the certification issued by the Green Building Council Indonesia up to present. Therefore, the research was conducted to identify the barriers to green building movement in Indonesia from building occupants' point of view. The data presented in this paper are mainly derived from interviews and responses to a questionnaire which distributed randomly to building occupants who had experiences either in conventional or in green buildings around Jakarta and Bandung. Based on the findings from 75 respondents, it was identified that the barriers are: burdensome implementation, lack of supported atmospheres, resistance to change, inadequate knowledge and information, negligence, high cost of green building options, insufficient supervision, lack of awareness, low availability of green products on the market, and lack of building management role. The work concludes with recommendations of performance improvement strategies analyzed by SWOT method. (C) 2016 The Authors. Published by Elsevier Ltd.
",Civil,4
"A one-dimensional finite element method for generally layered smart beams is presented in this paper. The model implements the first-order shear deformation beam theory and is based on the preliminary analytical condensation of the electric state to the mechanical state. This allows us to establish an effective mechanical beam kinematically equivalent to the original smart beam including the effects of electro-elastic couplings. The contributions of the external electric loads are included in both the equivalent stiffness properties and the equivalent mechanical boundary conditions. Hermite shape functions, which depend on parameters representative of the staking sequence through the equivalent electro-elastic stiffness coefficients, are used to formulate the finite element method. The state space representation is then invoked for the assembled smart beam finite element model to favor its implementation in a block diagram environment for multi-domain simulation. Validation results and solutions for passive and active vibrations damping system are presented last.
",ECE,1
"An optical method is developed to estimate water transparency (or underwater visibility) in terms of Secchi depth (Z(sd)), which follows the remote sensing and contrast transmittance theory. The major factors governing the variation in Z(sd), namely, turbidity and length attenuation coefficient (1/(c + K-d), c = beam attenuation coefficient; K-d = diffuse attenuation coefficient at 531 nm), are obtained based on band rationing techniques. It was found that the band ratio of remote sensing reflectance (expressed as (R-rs(443) + R-rs(490))/ (R-rs(555) + R-rs(670)) contains essential information about the water column optical properties and thereby positively correlates to turbidity. The beam attenuation coefficient (c) at 531 nm is obtained by a linear relationship with turbidity. To derive the vertical diffuse attenuation coefficient (K-d) at 531 nm, K-d(490) is estimated as a function of reflectance ratio (R-rs(670)/R-rs(490)), which provides the bio-optical link between chlorophyll concentration and K-d(531). The present algorithm was applied to MODIS-Aqua images, and the results were evaluated by matchup comparisons between the remotely estimated Z(sd) and in situ Z(sd) in coastal waters off Point Calimere and its adjoining regions on the southeast coast of India. The results showed the pattern of increasing Z(sd) from shallow turbid waters to deep clear waters. The statistical evaluation of the results showed that the percent mean relative error between the MODIS-Aqua-derived Z(sd) and in situ Z(sd) values was within +/- 25%. A close agreement achieved in spatial contours of MODIS-Aqua-derived Z(sd) and in situ Z(sd) for the month of January 2014 and August 2013 promises the model capability to yield accurate estimates of Zsd in coastal, estuarine, and inland waters. The spatial contours have been included to provide the best data visualization of the measured, modeled (in situ), and satellite-derived Z(sd) products. The modeled and satellite-derived Z(sd) values were compared with measurement data which yielded RMSE = 0.079, MRE = -0.016, and R-2 = 0.95 for the modeled Z(sd) and RMSE = 0.075, MRE = 0.020, and R-2 = 0.95 for the satellite-derived Z(sd) products.
",Civil,4
"A structurally simple, water-soluble rhodamine-derivatived fluorescent probe, which is responsive to acidic pH, was conveniently synthesized via a one-step condensation reaction of rhodamine B hydrazide and 4-formybenzene-1,3-disulfonate. As a stable and highly sensitive pH sensor, the probe displays an approximately 50-fold fluorescence enhancement over the pH range of 7.16-4.89 as the structure of probe changes from spirocyclic (weak fluorescent) to ring-open (strong fluorescent) with decreasing pH. The synthesized fluorescent probe is applied to the detection of pH changes in vitro and in vivo bioimaging of immortalized gastric cancer cells, with satisfactory results.
",Medical,5
"A new look at the description of the phenomenon of electromagnetic wave radiation as a phase transition of a quasi-static field state (near zone) in the field of running wave (far zone) is suggested. It is demonstrated that the boundary of this transition, called the causal surface, is sufficiently localized. The position of the causal surface depends on the chosen radiation frequency. The skin layer in media with strong absorption is formed at the boundary of the causal surface, and this can be used for depth sensing of such media.
",Civil,4
"African American families' experiences with mild cognitive impairment (MCI) have received little attention in the research literature. Guided by the life-course perspective, we analyzed qualitative interview data from members of 27 African American families including the person with MCI (PwMCI), a relative or friend who was highly involved in the PwMCI's daily life, and if available, a relative or friend who had at least monthly contact with the PwMCI. Findings uncovered variability in families' MCI awareness, assessment, and need for role changes; the importance of reaching out to trusted others; and honoring PwMCI's care preferences (e.g., who should provide care). Families held varying beliefs about engaging outside support; some families insisted on keeping all care within the family while others were open to the use of external services. We showcase how diagnosis acceptance and family decision-making are at the heart of how African American families respond to MCI.
",Medical,5
"A low energy- noise switched-capacitor (SC) sensor interface for resistive bridge sensor is presented. The SC amplifier achieves low-power metric with two operating modes using operation-phase-dependent biasing and compensation scheme in the op-amp design. This novel op-amp works in high-bandwidth high-power mode to sample the bridge signal for 13 mu s twice and in low-bandwidth low-power mode for 474 mu s over 500 mu s measurement interval. To further reduce the power of the SC amplifier in system level, a SC level-shift design is adopted. Regarding offset calibration, a capacitor divider based trimming scheme is implemented to generate the mid-point DC output voltage under the constraint of the feedback capacitor size. Implemented in 65 nm CMOS, the SC interface together with the regulator, voltage reference and trimming circuit occupies an area of 0.358 mm(2). For the first test setup utilizing Half Wheatstone Bridge, the proposed SC amplifier consumes 12.3 mu W at 1 V regulated supply with a 2 kHz system clock. The measured Signal-to-Noise Ratio (SNR) of SC circuit is 55.6 dB. In the second test setup using a commercial sensor with 0.092 mV/kPa sensitivity, the interface has demonstrated the sensing function with sensitivity of 3.52 mV/kPa. Finally, compared to the representative prior-arts, this work has achieved the best energy-noise figure-of-merit at identical fractional resistance change.
",ECE,1
"A piezoelectric-based hydraulic actuator is a type of piston-cylinder device which is operated by internal flow energy. Recently, an artificial muscle and a micro actuator have been developed using a new smart material and internal flow control. Thus, the actuating velocity of the fabricated integrated hybrid system was investigated using the pumping frequency and load weight. The actuating velocity was then calculated using a developed program, and the numerical result was compared with the experimental result to validate the numerical program. Also, the internal flow rate was measured to analyze the pump efficiency experimentally. The flow rate inside the integrated hybrid actuator calculated using a CFD program for various pumping frequencies was then compared with the experimental results. The maximum outlet velocity was obtained at the pumping frequency of 35 Hz and the velocity decreased from that point due to flow loss.
",Civil,4
"Android malware has grown in exponential proportions in recent times. Smartphone operating systems such as Android are being used to interface with and manage various IoT systems, such as building management and home automation systems. In such a hostile environment the ability to test and confirm device health claims is important to preserve confidentiality of user data. This paper describes a study to determine whether an Android device could be secured to prevent malware from executing in parallel with trusted applications. The research also sought to determine whether the system image could be protected from unauthorised modifications. A prototype scheme for meeting the above requirements was developed and tested. It was observed that the prototype succeeded in preventing unauthorised modification to the system image of the test device. However, the prototype failed to prevent unauthorised IPC calls when in single process mode.
",CS,0
"Although studies based on satellite gravimetry (2003 2010) and laser altimetry (2003-2009) measurements have achieved region-wide glacier mass change for the Tien Shan, the dynamic process of glacier yet to be closely monitored and understood so that its impact can be assessed accurately. In this study, we investigated region wide glacier thickness change in the Central Tien Shan (CTS) during 2000-2012 by differencing the Shuttle Radar Topographic Mission (SRTM) digital elevation model (DEM) with a newly constructed DEM from 27 TanDEM-X images. For a total glacier area of 7239.8 +/- 527.2 km(2), an average glacier thickness change rate of -0.24 +/- 0.22 m/a was derived. This result agrees well with the result based on satellite laser altimetry measurements reported earlier (-0.31 +/- 0.41 m/a). With temporal synchronization, a fine spatial resolution and wide coverage, our measurements are able to reveal abundant glacier change features and dependencies in the CTS. Firstly, the lower mountains have seen a more severe glacier decline, and the glaciers facing the prevailing wind (westerlies) have experienced a greater decline because of the stronger evaporation. Furthermore, those glaciers lying along the extremely high Meridian mountain range have obviously gained mass in their upper reaches, because the air current from the west is blocked and lifted by the Meridian mountain range. Secondly, for the entire glacier body, the theoretical hyperbolic dependence between debris thickness and ice decline was very difficult to establish. Some huge glaciers covered by heavy debris have still experienced a severe decline. However, even though the heavy debris did not prevent the ablation, its attenuating effects were considerable. Thirdly, for the glaciers that surged before 2000, the mass gain in the restoring zones has not been enough to cover the mass loss in ablation zones. Some large glaciers surged again during 2000-2012; however, with much lower magnitudes than in previous surges. In general, the surge glaciers have experienced a greater decline than the non-surge glaciers. Fourthly, due to the ice front calving and subglacial thermal erosion, glaciers connected to proglacial lakes have receded and thinned much more rapidly than the land-terminated glaciers. Overall, the glaciers in the CTS are more stable than those in other parts of the Tien Shan. However, the glacier state there is still alarming. A moderate average thinning rate was derived because the drastic thinning in the ablation zones was balanced by the slight thinning in the broad accumulation zones. (C) 2017 Elsevier Inc. All rights reserved.
",Civil,4
"Active appearance models (AAMs) are one of the most popular and well-established techniques for modeling deformable objects in computer vision. In this paper, we study the problem of fitting AAMs using compositional gradient descent (CGD) algorithms. We present a unified and complete view of these algorithms and classify them with respect to three main characteristics: (i) cost function; (ii) type of composition; and (iii) optimization method. Furthermore, we extend the previous view by: (a) proposing a novel Bayesian cost function that can be interpreted as a general probabilistic formulation of the well-known project-out loss; (b) introducing two new types of composition, asymmetric and bidirectional, that combine the gradients of both image and appearance model to derive better convergent and more robust CGD algorithms; and (c) providing new valuable insights into existent CGD algorithms by reinterpreting them as direct applications of the Schur complement and the Wiberg method. Finally, in order to encourage open research and facilitate future comparisons with our work, we make the implementation of the algorithms studied in this paper publicly available as part of the Menpo Project (http://www.menpo.org).
",CS,0
"A milestone in women's lives, the menopause can be a source of worry and anxiety. It is the cause of a certain number of physiological changes and unwelcome symptoms which it is possible to prevent or manage in the pharmacy. (C) 2017 Elsevier Masson SAS. All rights reserved
",Medical,5
"A compressive receiver (CR) is presented utilizing a composite right/left-handed (CRLH) dispersive delay line (DDL) for analog signal processing applications. The CRLH DDL offers advantages such as arbitrary frequency of operation and wide bandwidth, filling a gap with competing DDL technologies. The presented CR system utilizes an impulse-driven CRLH DDL and mixer inversion for chirp generation required for real-time signal processing. At high frequencies, this eliminates frequency ramp generators. The CR is employed as a frequency discriminator and a tunable delay line with dispersion compensation. The simulation and experimental results fully validate the presented systems as proof-of-concept for high-frequency applications such as real-time Fourier transformers and signal analyzers.
",ECE,1
"Although motion estimation (ME) approaches for fluid flows have been widely studied in computer vision domain, most existing ME algorithms cannot accurately deal with regions with both slight and drastic brightness changes. To address this issue, this paper introduces a novel data structure called brightness distribution matrix (BDM) which can be used to accurately model regional brightness. Based on our proposed consistency constraints and energy function, we can obtain motion vectors from image sequences with high accuracy. Since the BDM-based ME approach requires a large number of computations when dealing with complex fluid scenarios, to reduce the overall ME time, a parallelized version of our approach is developed based on graphics processing unit (GPU). Experimental results show that our GPU-based approach not only can be used to improve the ME quality for complex fluid images, but also can reduce the overall ME processing time (up to 7.06 times improvement).
",CS,0
"Appearance of various trace and/or emerging pollutants and deteriorated water pollution events challenge existing analytical methods and water treatment technologies. In the past 15 years, a technology termed surface plasmon resonance (SPR) has been widely used for detecting various types of environmental analytes and for improving the water treatment efficiency. In this review, SPR principles and surface modification methods are summarized. Applications of SPR in the, environmental detection of heavy metals, organic pollutants and bacteria over the past decade are illustrated. In addition, the use of SPR in monitoring microbial attachment, movement, and biofilm growth and in characterizing antifouling materials is described. While SPR is widely used, there are still considerably more capacities that can be exploited to fully utilize SPR in the investigation of the water pollution control process. (C) 2016 Elsevier B.V. All rights reserved.
",Civil,4
"Amid growing calls for greater collaboration between journalism and computer programming, this article examines a salient case study that reveals processes of communication, exchange, and work production at the intersection of these social and occupational worlds. We focus on a key stage of the Knight-Mozilla News Technology partnership - namely, an online 'Learning Lab' through which 60 individuals sought to coordinate around a shared interest in the innovation of journalism through open-source software. Drawing on the science and technology studies concepts of trading zones and boundary objects, we explore how distinct understandings about news and technology converged, diverged, and ultimately blended around three thematic ambitions: making news more process-oriented, participatory, and socially curated. This window onto boundary negotiations in journalism provides a glimpse into the future development of news and its norms and values, as programmers and their ethics assume a greater role in the journalistic field - in the very heart of some of its leading institutions.
",CS,0
"A triangle method has been frequently used for a regional evapotranspiration (ET) or evaporative fraction (EF) estimation using the relationship between a vegetation index and surface temperature. A simple histogram based on an on-orbit EF estimation algorithm is developed to determine hot and cold edges in the triangle distribution using only remotely sensed data. A new histogram based on an EF estimation algorithm is developed and compared with different options of existing hot and cold edge algorithms. The selected algorithms are applied to 5-year Terra MODIS data products, and the on-orbit EF estimations are validated using ground truth data from southern Great Plains. Using numerous iterations among the tested EF algorithms with the triangle method, the ""histogram""-based hot edge and newly proposed cold edge algorithm combinations provide an excellent performance between the ground truth and on-orbit EF estimations. It is shown that the histogram-based EF algorithm has enhanced correlation and mean bias values of 0.74 and 0.087, respectively, providing excellent accuracy for the regional on-orbit EF estimations. (C) 2017 Society of Photo-Optical Instrumentation Engineers (SPIE).
",Civil,4
